user_id,name,type,author,main_characters,rating,review_date,tags,story_summary,notes,is_public
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,奇洛李维斯的回信,BL小说,,,10,2024-01-01,{豪门},by清明谷雨，港风商圈世家，暗恋酸涩，陈挽&赵声阁，超爱沈宗年和谭又明这对副cp。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,猫咪的玫瑰,BL小说,,,0,2024-01-01,{星际},by一十四州，地球毁灭后的星际航行，林斯&凌一,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,恒星时刻,BL小说,,,0,2024-01-01,{娱乐圈},by稚楚，娱乐圈摇滚比赛，双向救赎奔赴，南乙&秦一隅。副cp十只羊和严雨齐daddy也好好磕，矛盾人设果真很香。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,独宠丑夫,BL小说,,,0,2024-01-01,"{种田,穿越,重生,古代}",by决绝，重生穿越架空种田，赵金哥&蒋震，镖局赌场海商盐场，结尾太扯蛋还建国。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,八零之从摆摊开始,BL小说,,,0,2024-01-01,{重生},by决绝，重生摆摊发家bg文，姜丽云&冯易，一如既往的后期好ppt，特别是冯易爷爷那段情节大可不必。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,史前养夫记,BL小说,,,0,2024-01-01,"{种田,穿越}",by决绝，穿越异世种田文，周寂&熊野。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,在男科医院不小心挂了前男友的号,BL小说,,,0,2024-01-01,"{甜文,虐文}",by杳杳一言，小甜文，李暄&苏幸川，心疼小傲娇的委屈，其实是很相爱的两人，特别是受那么跋扈自信的人，却在攻妈妈的言语伤害下否定自己忍痛离开，幸好纯爱无罪哈哈哈！,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,阴客,BL小说,,,0,2024-01-01,{},by木苏里，谢白&殷无牙，mini版判官？量子阅读无感。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,末世之绝地求生,BL小说,,,0,2024-01-01,"{虐文,豪门,丧尸}",by何大仁，沈十安&沈寻，长篇（阿尔伯特·刻耳柏波洛斯），末世丧尸,主角受有空间灵泉debuff，主角攻更是高纬度神级物种地狱三头犬之一，主线是末世生存战斗打怪重建人类家园，人性真情团队合作牺牲幸存这些都很触动。每一个核心成员都好喜欢，嘉木小脑袋，嘴贱路修远，嘴炮船船，乌鸦嘴满山，林软很让人心疼，人造人从小经历的非人实验那么痛苦，顾小弟弟是心腹黑哥控，陶源小可爱娃娃脸的军人，叶生花女装大佬，苗首富李诚这俩小角色也很喜欢。作者可能是华为粉丝，鸿蒙宇宙，笑发财。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,豪门养子重生日常,BL小说,,,6,2024-01-01,"{重生,豪门}",by黄铜左轮，陈文港&霍念生，大长篇双重生,故事其实不复杂，上一世父亲是豪门司机为了救主身故，豪门不管是出于名声抑或是真情实感，收养了文港。文港从物质上和豪门少爷同吃同住同享受学习资源，连进入公司实习也是一样的机会，上一世仿佛不是自己的人生，顺着别人的意志在走，读书深造不得，爱人恋人也背叛自己，最后还报恩定罪惨遭爱人的妻子狱中毁容，最后霍念生把他接回去，疼了7年爱了7年，遗憾的是没有回应的7年死不瞑目。再活一次一切都还来得及，还没有去顶罪还没有被毁容还能自主选择自己要走的路自己要爱的人。很喜欢港风的调调，有磅礴的资本世家，也有单纯的纸醉金迷，用词色彩人物调调，小人物大豪门的冲突和谐我都很喜欢。上一世的初恋真的很不喜欢这样的情感，爱是真爱，但爱得很自私没有勇气魄力，保护不了爱的人都是空大吹。很爱霍念生，”我只想陪你慢慢长大“，两个人的失而复得，彼此都是对方的特例，霍念生并不是放荡不羁，只是漂浮不定没有归属感，同样从小被收养教导规规矩矩的陈文港，并不是乖乖孩他善良勇敢锱铢必较护短霸道，很爱这两个人。,false
